;אזור ישוב שטח;ארגון בטחון בלתי;בנק כסף תאגיד;דירה חוב דיור;זהום סביבה איכות;זוג הטבה תרומה;חולה מחלה תרופה;חיל מלוא חפשה;חקירה פלילי כתב;חשמל ספורט אנרגיה;יהודי פרסום חפש;יצוג הולם נציג;מבקר בקרת פנימי;מוצר צרכן מים;מעסיק העסקה קבלן;מפלגה התרבות עם;נהג הרכב רכב;נשיא כהנה שוטר;ענש עברה עבירות;עקרון אמנה יסוד;פטור מועד בטחון;פסק הסכם נשואין;פקוח מנהל הקים;קטין אלימות תופעה;קצבה גמלה פנסיה;קרקע תכנון בניה;שדור ערוץ אגרה;שפה עולה ארץ;תביעה אחריות נזק;תלמיד לימודים השכלה
K17_f_75087;0.0012048193;0.013253012000000002;0.6879518072;0.16987951810000002;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.013253012000000002;0.0012048193;0.0012048193;0.061445783100000005;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0012048193;0.0253012048
K17_f_75301;0.0033333333;0.17;0.0033333333;0.0366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.27;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0366666667;0.0033333333;0.0033333333;0.07;0.0033333333;0.0033333333;0.10333333330000001;0.0033333333;0.0033333333;0.0033333333;0.2033333333;0.0033333333
K17_f_87972;0.0007751938;0.1093023256;0.0007751938;0.0007751938;0.0007751938;0.0007751938;0.0007751938;0.0007751938;0.0007751938;0.1093023256;0.0007751938;0.17131782950000002;0.0007751938;0.1790697674;0.0007751938;0.0162790698;0.0007751938;0.0007751938;0.0007751938;0.0937984496;0.0007751938;0.0007751938;0.2100775194;0.0085271318;0.0007751938;0.0317829457;0.0007751938;0.0007751938;0.0550387597;0.0007751938
K17_f_88060;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.1;0.0032258065;0.0677419355;0.035483871;0.0032258065;0.0032258065;0.035483871;0.0032258065;0.0677419355;0.0032258065;0.3258064516;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0677419355;0.0032258065;0.0032258065;0.0677419355;0.0032258065;0.0032258065;0.0032258065;0.164516129
K17_f_88708;8.488960000000001e-05;0.0077249576;8.488960000000001e-05;8.488960000000001e-05;0.0051782683;8.488960000000001e-05;0.0153650255;0.0060271647000000005;0.0043293718000000005;8.488960000000001e-05;0.0009337861000000001;0.044227504200000003;0.6554329372000001;8.488960000000001e-05;8.488960000000001e-05;8.488960000000001e-05;0.0017826825;8.488960000000001e-05;8.488960000000001e-05;0.0518675722;0.0306451613;8.488960000000001e-05;0.067147708;8.488960000000001e-05;8.488960000000001e-05;0.006876061100000001;8.488960000000001e-05;8.488960000000001e-05;0.1011035654;8.488960000000001e-05
K17_f_93813;0.000625;0.006875;0.000625;0.000625;0.019375;0.000625;0.000625;0.000625;0.306875;0.006875;0.000625;0.18187499999999998;0.000625;0.000625;0.000625;0.119375;0.000625;0.000625;0.063125;0.000625;0.000625;0.000625;0.000625;0.006875;0.000625;0.000625;0.000625;0.000625;0.269375;0.006875
K17_f_96028;0.1707692308;0.0630769231;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.6169230769;0.0015384615;0.0015384615;0.0015384615;0.0169230769;0.0169230769;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0169230769;0.0630769231;0.0015384615;0.0015384615
K17_f_98122;0.0002358491;0.0002358491;0.0002358491;0.0002358491;0.641745283;0.0002358491;0.0002358491;0.0002358491;0.0049528302;0.023820754700000002;0.0002358491;0.0143867925;0.0002358491;0.0002358491;0.0002358491;0.0002358491;0.016745283;0.0002358491;0.052122641500000004;0.0450471698;0.0002358491;0.0002358491;0.0686320755;0.0143867925;0.0002358491;0.0002358491;0.0002358491;0.0002358491;0.1134433962;0.0002358491
K17_f_129939;0.0041666667;0.8791666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667;0.0041666667
K17_f_130244;0.048837209300000003;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.18837209300000002;0.0023255814;0.0255813953;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.18837209300000002;0.0023255814;0.0023255814;0.0023255814;0.0255813953;0.0023255814;0.3744186047;0.0023255814;0.0255813953;0.0023255814;0.0023255814;0.0023255814;0.0023255814;0.0720930233;0.0023255814
