;אזור ישוב תושב;בחירה מפלגה תעודה;בטחון ארגון אסיר;בניה תכנון תוכנית;גמלה קצבה הקצבה;דיור סיוע רכישה;דמי עבד פטור;חולה מחלה רופא;חיל סטודנט פטור;יסוד עקרון כבוד;כניסה זר שהה;מבקר פנימי בקרת;מדיניות אחריות פקוח;מוצר מזון פסלת;מנוי יצוג נציג;נהג תחבורה רכב;נסוי הגדרה פקוח;נשואין זוג גרושין;סביבה חשמל זהום;ענש עברה אסור;צרכן חוב בנק;קטין נער קשה;שדור פרסום תקשרת;שם דיון דעה;שפה יהודי ארץ;תביעה חקירה משפטי;תופעה נמוך אחרון;תלמיד ספר גיל;תעשיה מכרז מפעל;תקציב קרן אוצר
K18_f_130872;0.0459459459;0.05495495500000001;0.0009009009;0.0009009009;0.0009009009;0.0189189189;0.7036036036000001;0.0009009009;0.063963964;0.0009009009;0.0009009009;0.0009009009;0.05495495500000001;0.0009009009;0.0009009009;0.0009009009;0.0009009009;0.0009009009;0.0009009009;0.0009009009;0.0009009009;0.0009009009;0.0009009009;0.0369369369;0.0009009009;0.0009009009;0.0009009009;0.0009009009;0.0009009009;0.0009009009
K18_f_131085;0.022448979600000002;0.0020408163;0.0020408163;0.022448979600000002;0.022448979600000002;0.0020408163;0.0020408163;0.0020408163;0.0020408163;0.0020408163;0.0020408163;0.022448979600000002;0.2673469388;0.0020408163;0.0836734694;0.0020408163;0.2265306122;0.0020408163;0.1448979592;0.0020408163;0.0020408163;0.0020408163;0.022448979600000002;0.0836734694;0.0020408163;0.0428571429;0.0020408163;0.0020408163;0.0020408163;0.0020408163
K18_f_132197;0.0025641026;0.0025641026;0.0025641026;0.028205128200000002;0.6948717949000001;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.028205128200000002;0.0025641026;0.028205128200000002;0.028205128200000002;0.0025641026;0.0794871795;0.028205128200000002;0.028205128200000002;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.0025641026;0.0025641026
K18_f_136058;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.19821428570000002;0.0375;0.0017857143;0.3232142857;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0196428571;0.3232142857;0.0017857143;0.0017857143;0.0553571429;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143
K18_f_142177;0.0180327869;0.0016393443000000001;0.11639344260000001;0.0016393443000000001;0.0180327869;0.0016393443000000001;0.3459016393;0.0016393443000000001;0.0016393443000000001;0.050819672100000005;0.0016393443000000001;0.0180327869;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001;0.0344262295;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001;0.36229508200000005;0.0016393443000000001;0.0016393443000000001;0.0016393443000000001
K18_f_143064;0.0033333333;0.0033333333;0.0033333333;0.2366666667;0.0033333333;0.0033333333;0.0033333333;0.0366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.6366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333
K18_f_180418;0.2318181818;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.3227272727;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.0954545455;0.004545454500000001;0.004545454500000001;0.1409090909;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.0954545455;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001;0.004545454500000001
K18_f_183416;0.22195121950000002;0.0024390244000000003;0.0268292683;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0268292683;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.1;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.4658536585;0.0024390244000000003;0.0268292683;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0024390244000000003;0.0268292683;0.0024390244000000003;0.051219512200000004;0.0024390244000000003
K18_f_188705;0.0008771930000000001;0.0008771930000000001;0.0271929825;0.0096491228;0.0008771930000000001;0.0359649123;0.0008771930000000001;0.0096491228;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.0008771930000000001;0.8956140351;0.0008771930000000001
K18_f_189728;0.0030303030000000002;0.2454545455;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0636363636;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0636363636;0.0030303030000000002;0.2454545455;0.1545454545;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.1545454545;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002;0.0030303030000000002
