;אשור התקנה תאגיד;דיור מגורים רכישה;הפליה אסור הוסר;חוב בנק גביה;חיל בטחון מלוא;יהודי ערבי עם;יצוג תפקיד דוח;ישוב בניה תכנון;לדה שעה חפשה;מחיר מוצר צרכן;מים מזון עשון;מעסיק פצוי העסקה;מקצוע הכשרה תעודה;נכה קצבה גמלה;נציבות בטחון תלונה;נשואין גרושין נשא;סביבה דיג טבע;סיוע חברתי הרוחה;ספורט התרבות עמתה;עברה עבירות אלימות;פטור תושב פקדה;צרכן פרסום שפה;קטין אחריות אמנה;קפה בחירה תרומה;ראש חקירה נבחר;רפואי מטפל רופא;תביעה משפטי הגשה;תחבורה הרכב רכב;תלמיד לימודים השכלה;תקציב פער קטן
K20_f_482355;0.00125;0.00125;0.00125;0.00125;0.00125;0.00125;0.013750000000000002;0.00125;0.00125;0.00125;0.00125;0.00125;0.00125;0.00125;0.13875;0.00125;0.00125;0.26375000000000004;0.013750000000000002;0.00125;0.00125;0.00125;0.51375;0.026250000000000002;0.00125;0.00125;0.00125;0.00125;0.00125;0.00125
K20_f_488007;0.0014492754;0.015942029;0.0304347826;0.0014492754;0.0014492754;0.131884058;0.0014492754;0.0014492754;0.0014492754;0.0014492754;0.0014492754;0.0014492754;0.0014492754;0.015942029;0.0014492754;0.0014492754;0.0594202899;0.1898550725;0.0014492754;0.0014492754;0.0014492754;0.0014492754;0.0014492754;0.0014492754;0.0014492754;0.015942029;0.10289855070000001;0.40724637680000003;0.0014492754;0.0014492754
K20_f_488132;0.0018181818000000001;0.0018181818000000001;0.2381818182;0.0018181818000000001;0.6381818182;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0381818182;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.02;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.02;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001;0.0018181818000000001
K20_f_541093;0.0025;0.3275;0.0025;0.0025;0.0025;0.0025;0.1525;0.0025;0.0275;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0275;0.0025;0.0275;0.0025;0.3025;0.0025;0.0025;0.0025;0.052500000000000005;0.0025;0.0025;0.0025;0.0275
K20_f_542231;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.0482352941;0.0011764706;0.0011764706;0.0011764706;0.1070588235;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.1776470588;0.0011764706;0.2835294118;0.0011764706;0.3541176471;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.0011764706;0.0011764706
K20_f_543184;0.0005882353;0.0005882353;0.0005882353;0.0005882353;0.10647058820000001;0.03;0.0005882353;0.0005882353;0.0005882353;0.0005882353;0.0005882353;0.0182352941;0.0005882353;0.0005882353;0.0005882353;0.0005882353;0.0005882353;0.0182352941;0.0005882353;0.1888235294;0.5829411765;0.0005882353;0.0064705882;0.0005882353;0.0005882353;0.0005882353;0.0005882353;0.035882352900000004;0.0005882353;0.0005882353
K20_f_543895;0.11296296300000001;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.3722222222;0.0018518519000000002;0.0203703704;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.2611111111;0.0018518519000000002;0.0203703704;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.16851851850000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002
K20_f_543974;0.0022727273;0.2295454545;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.07045454550000001;0.0022727273;0.0022727273;0.0022727273;0.0022727273;0.38863636360000003;0.0022727273;0.0022727273;0.0022727273;0.1386363636;0.0022727273;0.0022727273;0.07045454550000001;0.0022727273;0.0022727273;0.0022727273;0.025;0.0022727273;0.025;0.0022727273;0.0022727273;0.0022727273
K20_f_544618;0.0033333333;0.0033333333;0.0366666667;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.27;0.0033333333;0.0033333333;0.6033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333;0.0033333333
K20_f_546532;0.0077464789;0.1908450704;0.0007042254;0.17676056340000001;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.0147887324;0.0007042254;0.0007042254;0.0711267606;0.2753521127;0.05;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.0007042254;0.1978873239;0.0007042254;0.0007042254;0.0007042254
